"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"bc0d0c5983e741205f49e64810aee14f","d__Bacteria"," p__Gemmatimonadota"," c__BD2-11_terrestrial_group"," o__BD2-11_terrestrial_group"," f__BD2-11_terrestrial_group"," g__BD2-11_terrestrial_group"," s__metagenome"
"83d1de486f232be8fe2aa477d4ec1e83","d__Bacteria"," p__Planctomycetota"," c__Phycisphaerae"," o__Tepidisphaerales"," f__WD2101_soil_group"," g__WD2101_soil_group"," s__uncultured_planctomycete"
"8d833df88f63ffafbc70207dd1607d80","d__Bacteria"," p__Verrucomicrobiota"," c__Verrucomicrobiae"," o__Pedosphaerales"," f__Pedosphaeraceae"," g__Pedosphaeraceae",NA
"0e1ac5168c12002b3d9f45adf932a400","d__Bacteria"," p__Patescibacteria"," c__Parcubacteria"," o__Candidatus_Nomurabacteria"," f__Candidatus_Nomurabacteria"," g__Candidatus_Nomurabacteria"," s__uncultured_Parcubacteria"
"eff1b4f539ba88f06a96c2266bbb48ba","d__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__CCM19a"," f__CCM19a"," g__CCM19a"," s__uncultured_gamma"
"4228c03eb82f36fce8d489d62df1ab24","d__Bacteria"," p__Verrucomicrobiota"," c__Verrucomicrobiae"," o__Chthoniobacterales"," f__Chthoniobacteraceae"," g__Chthoniobacter"," s__uncultured_bacterium"
"ea594183e224274a0af0878d9a41c904","d__Bacteria"," p__Gemmatimonadota"," c__Gemmatimonadetes"," o__Gemmatimonadales"," f__Gemmatimonadaceae"," g__uncultured",NA
"5ab5726f16708a54a566a13be735979c","d__Bacteria"," p__Dependentiae"," c__Babeliae"," o__Babeliales",NA,NA,NA
"957f0f479b2f7afca3619a06c988c741","d__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Diplorickettsiales"," f__Diplorickettsiaceae"," g__uncultured"," s__uncultured_bacterium"
"0078efed16d2db22014709fa88a13248","d__Bacteria"," p__Patescibacteria"," c__Parcubacteria"," o__Candidatus_Nomurabacteria"," f__Candidatus_Nomurabacteria"," g__Candidatus_Nomurabacteria"," s__uncultured_bacterium"
"a4722960859ab9b75b9aca58ba25732c","d__Bacteria"," p__Verrucomicrobiota"," c__Verrucomicrobiae"," o__Chthoniobacterales"," f__Chthoniobacteraceae"," g__Chthoniobacter"," s__uncultured_Spartobacteria"
"43e568f7a0c38b37f9f270b834b539b4","d__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Diplorickettsiales"," f__Diplorickettsiaceae"," g__Aquicella"," s__uncultured_bacterium"
"21b9b8839395e6e15266fb8fb11ffe5e","d__Bacteria"," p__Gemmatimonadota"," c__S0134_terrestrial_group"," o__S0134_terrestrial_group"," f__S0134_terrestrial_group"," g__S0134_terrestrial_group"," s__uncultured_Gemmatimonadetes"
"618b711da739fad7124bfb9e108d1fcd","d__Bacteria"," p__Planctomycetota"," c__Planctomycetes"," o__Pirellulales"," f__Pirellulaceae"," g__Pirellula",NA
"e1a51901681ddbf783ff59352611b1f3","d__Bacteria"," p__Bacteroidota"," c__Bacteroidia"," o__Flavobacteriales"," f__Crocinitomicaceae"," g__Crocinitomix"," s__metagenome"
"9b9d9edf41d619f471169b96db0e3416","d__Bacteria"," p__Verrucomicrobiota"," c__Verrucomicrobiae"," o__S-BQ2-57_soil_group"," f__S-BQ2-57_soil_group"," g__S-BQ2-57_soil_group"," s__uncultured_bacterium"
"0f2a46ca762287f1c4d7b54606f3e474","d__Bacteria"," p__Firmicutes"," c__Bacilli"," o__Paenibacillales"," f__Paenibacillaceae"," g__Paenibacillus",NA
"1efdd272dade0b3b51932c42bdadae0d","d__Bacteria"," p__Bdellovibrionota"," c__Oligoflexia"," o__Oligoflexales"," f__uncultured"," g__uncultured"," s__uncultured_bacterium"
"e60c2906f198d785c448a4cea291f2ad","d__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Burkholderiales"," f__Comamonadaceae"," g__Ramlibacter",NA
"4070faee403bb8953da9a99f25ba3c33","d__Bacteria"," p__Planctomycetota"," c__Planctomycetes"," o__Gemmatales"," f__Gemmataceae"," g__uncultured",NA
"a4cfdf42b4b7976535892ad2c52a88dc","d__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Burkholderiales"," f__Nitrosomonadaceae"," g__Ellin6067"," s__uncultured_bacterium"
"4ed985737292876b2914a939e56675c3","d__Bacteria"," p__Planctomycetota"," c__Planctomycetes"," o__Pirellulales"," f__Pirellulaceae"," g__Pirellula"," s__uncultured_bacterium"
"c924067ae748f52544d82e7f23ff923e","d__Bacteria"," p__Bacteroidota"," c__Bacteroidia"," o__Sphingobacteriales"," f__env.OPS_17"," g__env.OPS_17",NA
"0510d25491d6ad8d4225737da89d218b","d__Bacteria"," p__Acidobacteriota"," c__Subgroup_22"," o__Subgroup_22"," f__Subgroup_22"," g__Subgroup_22"," s__uncultured_bacterium"
"ebf9e06fec23b965f54f62f424344ef4","d__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Steroidobacterales"," f__Steroidobacteraceae"," g__uncultured"," s__uncultured_Sinobacteraceae"
